Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,PriceinIndia
Byton M-Byte 95 kWh 2WD,Battery Electric Vehicle |       95 kWh,7.5 sec,190 km/h,400 km,238 Wh/km,480 km/h,Rear Wheel Drive,5,"€ 62,000","£57,500","? 2,48,119"
Fiat 500e Cabrio,Battery Electric Vehicle |       37.3 kWh,9.0 sec,150 km/h,245 km,152 Wh/km,410 km/h,Front Wheel Drive,4,"€ 30,560","£26,645","? 1,95,804"
Opel Mokka-e,Battery Electric Vehicle |       45 kWh,8.5 sec,150 km/h,255 km,176 Wh/km,340 km/h,Front Wheel Drive,5,"€ 34,110","£30,540","? 2,67,480"
Skoda Enyaq iV 60,Battery Electric Vehicle |       58 kWh,8.7 sec,160 km/h,330 km,176 Wh/km,420 km/h,Rear Wheel Drive,5,"€ 38,850","£31,995","? 2,75,333"
Skoda Enyaq iV 80,Battery Electric Vehicle |       77 kWh,8.6 sec,160 km/h,420 km,183 Wh/km,510 km/h,Rear Wheel Drive,5,"€ 43,950","£39,350","? 2,80,764"
Skoda Enyaq iV 80X,Battery Electric Vehicle |       77 kWh,6.9 sec,160 km/h,405 km,190 Wh/km,500 km/h,All Wheel Drive,5,"€ 47,000","£42,000","? 1,04,346"
Skoda Enyaq iV RS,Battery Electric Vehicle |       77 kWh,6.2 sec,180 km/h,395 km,195 Wh/km,480 km/h,All Wheel Drive,5,"€ 50,000","£45,000","? 2,97,002"
Fiat 500e Hatchback 42 kWh,Battery Electric Vehicle |       37.3 kWh,9.0 sec,150 km/h,250 km,149 Wh/km,420 km/h,Front Wheel Drive,4,"€ 27,560","£23,995","? 1,72,025"
Citroen e-C4,Battery Electric Vehicle |       45 kWh,9.7 sec,150 km/h,250 km,180 Wh/km,330 km/h,Front Wheel Drive,5,"€ 34,640","£30,895","? 2,01,602"
Jaguar I-Pace EV400,Battery Electric Vehicle |       84.7 kWh,4.8 sec,200 km/h,365 km,232 Wh/km,340 km/h,All Wheel Drive,5,"€ 77,300","£65,195","? 2,69,008"
Kia e-Soul 64 kWh,Battery Electric Vehicle |       64 kWh,7.9 sec,167 km/h,370 km,173 Wh/km,350 km/h,Front Wheel Drive,5,"€ 37,790",N/A,"? 2,92,211"
Kia e-Soul 39 kWh,Battery Electric Vehicle |       39.2 kWh,9.9 sec,157 km/h,230 km,170 Wh/km,220 km/h,Front Wheel Drive,5,"€ 33,990",N/A,N/A
Audi Q4 Sportback e-tron 35,Battery Electric Vehicle |       51.5 kWh,9.0 sec,160 km/h,295 km,175 Wh/km,410 km/h,Rear Wheel Drive,5,"€ 43,900","£42,250","? 1,48,972"
Nissan Ariya 63kWh,Battery Electric Vehicle |       63 kWh,7.5 sec,160 km/h,335 km,188 Wh/km,450 km/h,Front Wheel Drive,5,"€ 45,000","£40,000",N/A
Nissan Ariya 87kWh,Battery Electric Vehicle |       87 kWh,7.6 sec,160 km/h,445 km,196 Wh/km,530 km/h,Front Wheel Drive,5,"€ 50,000","£45,000","? 1,58,205"
Nissan Ariya e-4ORCE 63kWh,Battery Electric Vehicle |       63 kWh,5.9 sec,200 km/h,325 km,194 Wh/km,440 km/h,All Wheel Drive,5,"€ 50,000","£45,000","? 2,69,432"
Nissan Ariya e-4ORCE 87kWh,Battery Electric Vehicle |       87 kWh,5.7 sec,200 km/h,420 km,207 Wh/km,500 km/h,All Wheel Drive,5,"€ 57,500","£52,500","? 1,16,267"
Nissan Ariya e-4ORCE 87kWh Performance,Battery Electric Vehicle |       87 kWh,5.1 sec,200 km/h,385 km,226 Wh/km,460 km/h,All Wheel Drive,5,"€ 65,000","£57,500","? 2,15,471"
Volkswagen ID.3 Pro Performance,Battery Electric Vehicle |       58 kWh,7.3 sec,160 km/h,350 km,166 Wh/km,440 km/h,Rear Wheel Drive,5,"€ 36,495","£29,740","? 2,98,521"
MG MG5 EV,Battery Electric Vehicle |       48.8 kWh,7.7 sec,185 km/h,295 km,165 Wh/km,340 km/h,Front Wheel Drive,5,N/A,"£25,095","? 2,44,857"
Volkswagen ID.4 Pro Performance,Battery Electric Vehicle |       77 kWh,8.5 sec,160 km/h,410 km,188 Wh/km,500 km/h,Rear Wheel Drive,5,"€ 44,450","£41,570","? 2,05,088"
Mercedes EQV 300 Extra-Long,Battery Electric Vehicle |       90 kWh,12.1 sec,160 km/h,320 km,281 Wh/km,280 km/h,Front Wheel Drive,7,"€ 72,281",N/A,"? 2,41,298"
Lucid Air Grand Touring,Battery Electric Vehicle |       110 kWh,3.2 sec,270 km/h,660 km,167 Wh/km,1380 km/h,All Wheel Drive,5,"€ 1,40,000","£125,000","? 1,26,609"
Lucid Air Touring,Battery Electric Vehicle |       85 kWh,3.4 sec,250 km/h,530 km,160 Wh/km,1390 km/h,All Wheel Drive,5,"€ 95,000","£90,000","? 2,26,714"
Lucid Air Pure,Battery Electric Vehicle |       85 kWh,4.2 sec,200 km/h,540 km,157 Wh/km,1410 km/h,Rear Wheel Drive,5,"€ 80,000","£70,000","? 2,97,033"
Dacia Spring Electric,Battery Electric Vehicle |       26.8 kWh,15.0 sec,125 km/h,170 km,158 Wh/km,120 km/h,Front Wheel Drive,4,"€ 20,490",N/A,"? 1,29,744"
Tesla Model 3 Standard Range Plus LFP,Battery Electric Vehicle |       51 kWh,5.6 sec,225 km/h,340 km,150 Wh/km,570 km/h,Rear Wheel Drive,5,"€ 43,560","£40,990",N/A
Tesla Model 3 Long Range Dual Motor,Battery Electric Vehicle |       70 kWh,4.4 sec,233 km/h,455 km,154 Wh/km,570 km/h,All Wheel Drive,5,N/A,"£48,490","? 2,59,518"
Tesla Model 3 Performance,Battery Electric Vehicle |       76 kWh,3.3 sec,261 km/h,470 km,162 Wh/km,790 km/h,All Wheel Drive,5,"€ 58,560","£59,990","? 2,30,777"
Fiat 500e Hatchback 24 kWh,Battery Electric Vehicle |       23.8 kWh,9.5 sec,135 km/h,165 km,144 Wh/km,260 km/h,Front Wheel Drive,4,"€ 23,560","£20,495","? 2,72,800"
Fiat 500e 3+1,Battery Electric Vehicle |       37.3 kWh,9.0 sec,150 km/h,245 km,152 Wh/km,410 km/h,Front Wheel Drive,4,"€ 29,560",N/A,"? 2,62,291"
Mercedes EQC 400 4MATIC,Battery Electric Vehicle |       80 kWh,5.1 sec,180 km/h,370 km,216 Wh/km,440 km/h,All Wheel Drive,5,"€ 66,069","£65,720","? 1,80,566"
